symbol,company_name,sector,market_cap,headquarters,exchange
BHARATFORG,Bharat Forge,Automobile and Auto Components,,India,NSE
BHARTIARTL,Bharti Airtel,Telecommunication,,India,NSE
BHARTIHEXA,Bharti Hexacom,Telecommunication,,India,NSE
BHEL,Bharat Heavy Electricals,Capital Goods,,India,NSE
BIKAJI,Bikaji Foods International,Fast Moving Consumer Goods,,India,NSE
BIOCON,Biocon,Healthcare,,India,NSE
BLS,BLS International Services,Consumer Services,,India,NSE
BLUEDART,Blue Dart Express,Services,,India,NSE
BLUEJET,Blue Jet Healthcare,Healthcare,,India,NSE
BLUESTARCO,Blue Star,Consumer Durables,,India,NSE
BOSCHLTD,Bosch,Automobile and Auto Components,,India,NSE
BPCL,Bharat Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE
BRIGADE,Brigade Enterprises,Realty,,India,NSE
BRITANNIA,Britannia Industries,Fast Moving Consumer Goods,,India,NSE
BSE,BSE,Financial Services,,India,NSE
BSOFT,Birlasoft,Information Technology,,India,NSE
CAMPUS,Campus Activewear,Consumer Durables,,India,NSE
CAMS,Computer Age Management Services,Financial Services,,India,NSE
CANBK,Canara Bank,Financial Services,,India,NSE
CANFINHOME,Can Fin Homes,Financial Services,,India,NSE
CAPLIPOINT,Caplin Point Laboratories,Healthcare,,India,NSE
CARBORUNIV,Carborundum Universal,Capital Goods,,India,NSE
CASTROLIND,Castrol India,Oil Gas & Consumable Fuels,,India,NSE
CCL,CCL Products (I),Fast Moving Consumer Goods,,India,NSE
CDSL,Central Depository Services (India),Financial Services,,India,NSE
CEATLTD,Ceat,Automobile and Auto Components,,India,NSE
CENTRALBK,Central Bank of India,Financial Services,,India,NSE
CENTURYPLY,Century Plyboards (India),Consumer Durables,,India,NSE
CERA,Cera Sanitaryware,Consumer Durables,,India,NSE
CESC,CESC,Power,,India,NSE
CGCL,Capri Global Capital,Financial Services,,India,NSE
CGPOWER,CG Power and Industrial Solutions,Capital Goods,,India,NSE
CHALET,Chalet Hotels,Consumer Services,,India,NSE
CHAMBLFERT,Chambal Fertilizers & Chemicals,Chemicals,,India,NSE
CHENNPETRO,Chennai Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE
CHOICEIN,Choice International,Financial Services,,India,NSE
CHOLAFIN,Cholamandalam Investment and Finance Company,Financial Services,,India,NSE
CHOLAHLDNG,Cholamandalam Financial Holdings,Financial Services,,India,NSE
CIPLA,Cipla,Healthcare,,India,NSE
CLEAN,Clean Science and Technology,Chemicals,,India,NSE
COALINDIA,Coal India,Oil Gas & Consumable Fuels,,India,NSE
COCHINSHIP,Cochin Shipyard,Capital Goods,,India,NSE
COFORGE,Coforge,Information Technology,,India,NSE
COHANCE,Cohance Lifesciences,Healthcare,,India,NSE
COLPAL,Colgate Palmolive (India),Fast Moving Consumer Goods,,India,NSE
CONCOR,Container Corporation of India,Services,,India,NSE
CONCORDBIO,Concord Biotech,Healthcare,,India,NSE
COROMANDEL,Coromandel International,Chemicals,,India,NSE
CRAFTSMAN,Craftsman Automation,Automobile and Auto Components,,India,NSE
CREDITACC,CreditAccess Grameen,Financial Services,,India,NSE
CRISIL,CRISIL,Financial Services,,India,NSE
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables,,India,NSE
CUB,City Union Bank,Financial Services,,India,NSE
CUMMINSIND,Cummins India,Capital Goods,,India,NSE
CYIENT,Cyient,Information Technology,,India,NSE
DABUR,Dabur India,Fast Moving Consumer Goods,,India,NSE
DALBHARAT,Dalmia Bharat,Construction Materials,,India,NSE
DATAPATTNS,Data Patterns (India),Capital Goods,,India,NSE
DBREALTY,Valor Estate,Consumer Services,,India,NSE
DCMSHRIRAM,DCM Shriram,Diversified,,India,NSE
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp.,Chemicals,,India,NSE
DEEPAKNTR,Deepak Nitrite,Chemicals,,India,NSE
DELHIVERY,Delhivery,Services,,India,NSE
DEVYANI,Devyani International,Consumer Services,,India,NSE
DIVISLAB,Divi's Laboratories,Healthcare,,India,NSE
DIXON,Dixon Technologies (India),Consumer Durables,,India,NSE
DLF,DLF,Realty,,India,NSE
DMART,Avenue Supermarts,Consumer Services,,India,NSE
DOMS,DOMS Industries,Fast Moving Consumer Goods,,India,NSE
DRREDDY,Dr. Reddy's Laboratories,Healthcare,,India,NSE
ECLERX,eClerx Services,Services,,India,NSE
